#《禮記·中庸》中古音及中州音
# v20190526
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin	reference
行	haeng	ɦiŋ˩	
之。	tsyi	tʃɨ	
或	hwok	ɦwəʔ(k)˩	
利	lijH	li˨˦	
而	nyi	ɻ˩	
行	haeng	ɦiŋ˩	
之。	tsyi	tʃɨ	
或	hwok	ɦwəʔ(k)˩	
勉	mjenX	miɛn˥˧	
強	gjangX	giɑŋ'˨˦	【音義】【集註】
而	nyi	ɻ˩	
行	haeng	ɦiŋ˩	
之。	tsyi	tʃɨ	
及	gip	giʔ(p)˩	
其	gi	kʱi˩	
成	dzyeng	tʃʱiŋ˩	
功	kuwng	kuŋ	
一	’jit	ʔiʔ(t)	
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
好	xawH	haw˨˦	【音義】【集註】
學	haewk	ɦiɒʔ(k)˩	
近	gj+nH	gin˨˦	【音義】
乎	hu	ɦu˩	
知。	trjeH	tʃi˨˦	【音義】【集註】
力	lik	liʔ(k)˩	
行	"haeng/
haengH"	"ɦiŋ˩/
ɦiŋ˨˦"	【音義】
近	gj+nH	gin˨˦	【音義】
乎	hu	ɦu˩	
仁。	nyin	ʒin˩	
知	trje	tʃi	
恥	trhiX	tʃʰi˥˧	
近	gj+nH	gin˨˦	【音義】
乎	hu	ɦu˩	
勇。	yowngX	jyuŋ˥˧	
知	trje	tʃi	
斯	sje	sɨ	
三	sam	sam	
者。	tsyaeX	tʃiɛ˥˧	
則	tsok	tsəʔ(k)	
知	trje	tʃi	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
脩	sjuw	siw	
身。	syin	ʃin	
知	trje	tʃi	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
脩	sjuw	siw	
身。	syin	ʃin	
則	tsok	tsəʔ(k)	
知	trje	tʃi	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
治	dri	tʃʱi˩	
人。	nyin	ʒin˩	
知	trje	tʃi	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
治	dri	tʃʱi˩	
人。	nyin	ʒin˩	
則	tsok	tsəʔ(k)	
知	trje	tʃi	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
治	dri	tʃʱi˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
國	kwok	kwəʔ(k)	
家	kae	kia	
矣。	hiX	ji˥˧	
凡	bjom	fʱam˩	
爲	hjwe	ui˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
國	kwok	kwəʔ(k)	
家	kae	kia	
有	hjuwX	jiw˥˧	
九	kjuwX	kiw˥˧	
經。	keng	kiŋ	
曰。	hjwot	jyuɛʔ(t)˩	
脩	sjuw	siw	
身	syin	ʃin	
也。	yaeX	jiɛ˥˧	
尊	tswon	tsun	
賢	hen	ɦiɛn˩	
也。	yaeX	jiɛ˥˧	
親	tshin	tsʰin	
親	tshin	tsʰin	
也。	yaeX	jiɛ˥˧	
敬	kjaengH	kiŋ˨˦	
大	dajH	dai˨˦	
臣	dzyin	tʃʱin˩	
也。	yaeX	jiɛ˥˧	
體	thejX	tʰi˥˧	
群	gjun	kʱyun˩	
臣	dzyin	tʃʱin˩	
也。	yaeX	jiɛ˥˧	
子	"tsiX/
tsiH"	"tsɨ˥˧/
tsɨ˨˦"	【音義】
庶	syoH	ʃy˨˦	
民	mjin	min˩	
也。	yaeX	jiɛ˥˧	
來	loj	lai˩	
百	paek	pəʔ(k)	
工	kuwng	kuŋ	
也。	yaeX	jiɛ˥˧	
柔	nyuw	ʒiw˩	
遠	hjwonX	jyuɛn˥˧	
人	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
懷	hweaj	ɦwai˩	
諸	tsyo	tʃy	
侯	huw	ɦəw˩	
也。	yaeX	jiɛ˥˧	
脩	sjuw	siw	
身	syin	ʃin	
則	tsok	tsəʔ(k)	
道	dawX	daw'˨˦	
立。	lip	liʔ(p)˩	
尊	tswon	tsun	
賢	hen	ɦiɛn˩	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
惑。	hwok	ɦwəʔ(k)˩	
親	tshin	tsʰin	
親	tshin	tsʰin	
則	tsok	tsəʔ(k)	
諸	tsyo	tʃy	
父	bjuX	fʱu'˨˦	
昆	kwon	kun	
弟	dejX	di'˨˦	
不	pjuw	puʔ(t)	
怨。	’jwonH	ʔyuɛn˨˦	
敬	kjaengH	kiŋ˨˦	
大	dajH	dai˨˦	
臣	dzyin	tʃʱin˩	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
眩。	hwenH	ɦyuɛn˨˦	【音義】
體	thejX	tʰi˥˧	
群	gjun	kʱyun˩	
臣	dzyin	tʃʱin˩	
則	tsok	tsəʔ(k)	
士	dzriX	ʂʱɨ'˨˦	
之	tsyi	tʃɨ	
報	pawH	paw˨˦	
禮	lejX	li˥˧	
重。	drjowngX	dʒyuŋ'˨˦	
子	"tsiX/
tsiH"	"tsɨ˥˧/
tsɨ˨˦"	【音義】
庶	syoH	ʃy˨˦	
民	mjin	min˩	
則	tsok	tsəʔ(k)	
百	paek	pəʔ(k)	
姓	sjengH	siŋ˨˦	
勸。	khjwonH	kʰyuɛn˨˦	
來	loj	lai˩	
百	paek	pəʔ(k)	
工	kuwng	kuŋ	
則	tsok	tsəʔ(k)	
財	dzoj	tsʱai˩	
用	yowngH	jyuŋ˨˦	
足。	tsjowk	tsyuʔ(k)	
柔	nyuw	ʒiw˩	
遠	hjwonX	jyuɛn˥˧	
人	nyin	ʒin˩	
則	tsok	tsəʔ(k)	
四	sijH	sɨ˨˦	
方	pjang	fɑŋ	
歸	kjw+j	kui	
之。	tsyi	tʃɨ	
懷	hweaj	ɦwai˩	
諸	tsyo	tʃy	
侯	huw	ɦəw˩	
則	tsok	tsəʔ(k)	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
畏	’jw+jH	ʔui˨˦	
之。	tsyi	tʃɨ	
齊	tsreaj	tʂai	【音義】【集註】
明	mjaeng	miŋ˩	
盛	dzyengH	ʃʱiŋ˨˦	
服。	bjuwk	fʱuʔ(k)˩	
非	pj+j	fi	
禮	lejX	li˥˧	
不	pjuw	puʔ(t)	
動。	duwngX	duŋ'˨˦	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
脩	sjuw	siw	
身	syin	ʃin	
也。	yaeX	jiɛ˥˧	
去	khjoX	kʰy˥˧	【音義】【集註】
讒	dzream	ʈʂʱam˩	
遠	hjwonH	jyuɛn˨˦	【音義】【集註】
色。	srik	ʂəʔ(k)	
賤	dzjenH	dziɛn˨˦	
貨	xwaH	hwɔ˨˦	
而	nyi	ɻ˩	
貴	kjw+jH	kui˨˦	
德。	tok	təʔ(k)	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
賢	hen	ɦiɛn˩	
也。	yaeX	jiɛ˥˧	
尊	tswon	tsun	
其	gi	kʱi˩	
位。	hwijH	ui˨˦	
重	"drjowngX/
drjowngH"	"dʒyuŋ'˨˦/
dʒyuŋ˨˦"	
其	gi	kʱi˩	
祿。	luwk	luʔ(k)˩	
同	duwng	tʱuŋ˩	
其	gi	kʱi˩	
好	"xawH/
xawX"	"haw˨˦/
haw˥˧"	【音義】【集註】
惡。	"’uH/
’ak"	"ʔu˨˦/
ʔɔʔ(k)"	【音義】【集註】
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
親	tshin	tsʰin	
親	tshin	tsʰin	
也。	yaeX	jiɛ˥˧	
官	kwan	kwɔn	
盛	dzyengH	ʃʱiŋ˨˦	
任	nyim	ʒim˩	
使。	sriX	ʂɨ˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
大	dajH	dai˨˦	
臣	dzyin	tʃʱin˩	
也。	yaeX	jiɛ˥˧	
忠	trjuwng	tʃyuŋ	
信	sinH	sin˨˦	
重	"drjowngX/
drjowngH"	"dʒyuŋ'˨˦/
dʒyuŋ˨˦"	
祿。	luwk	luʔ(k)˩	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
士	dzriX	ʂʱɨ'˨˦	
也。	yaeX	jiɛ˥˧	
時	dzyi	ʃʱɨ˩	
使	sriX	ʂɨ˥˧	
薄	bak	bɒʔ(k)˩	
斂。	ljemH	liɛm˨˦	【音義】【集註】
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
百	paek	pəʔ(k)	
姓	sjengH	siŋ˨˦	
也。	yaeX	jiɛ˥˧	
日	nyit	ʒiʔ(t)˩	
省	sjengX	siŋ˥˧	
月	ngjwot	(ŋ)yuɛʔ(t)˩	
試。	syiH	ʃɨ˨˦	
既	xj+jH	hi˨˦	【音義】【集註】
稟	"pimX/
limX"	"pin(m)˥˧/
lim˥˧"	【音義】【集註】
稱	tsyhingH	tʃʰiŋ˨˦	【音義】【集註】
事。	dzriH	ʂʱɨ˨˦	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
勸	khjwonH	kʰyuɛn˨˦	
百	paek	pəʔ(k)	
工	kuwng	kuŋ	
也。	yaeX	jiɛ˥˧	
送	suwngH	suŋ˨˦	
往	hjwangX	wɑŋ˥˧	
迎	ngjaeng	jiŋ˩	
來。	loj	lai˩	
嘉	kae	kia	
善	dzyenX	ʃʱiɛn'˨˦	
而	nyi	ɻ˩	
矜	king	kiŋ	
不	pjuw	puʔ(t)	
能。	nong	nəŋ˩	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
柔	nyuw	ʒiw˩	
遠	hjwonX	jyuɛn˥˧	
人	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
繼	kejH	ki˨˦	
絕	dzjwet	dzyuɛʔ(t)˩	
世。	syejH	ʃi˨˦	
舉	kjoX	ky˥˧	
廢	pjojH	fi˨˦	
國。	kwok	kwəʔ(k)	
治	dri	tʃʱi˩	
亂	lwanH	lwɔn˨˦	
持	dri	tʃʱi˩	
危。	ngjwe	(ŋ)ui˩	
朝	drjew	tʃʱiɛw˩	【音義】【集註】
聘	phjiengH	pʰiŋ˨˦	
以	yiX	ji˥˧	
時。	dzyi	ʃʱɨ˩	
厚	huwX	ɦəw'˨˦	
往	hjwangX	wɑŋ˥˧	
而	nyi	ɻ˩	
薄	bak	bɒʔ(k)˩	
來。	loj	lai˩	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
懷	hweaj	ɦwai˩	
諸	tsyo	tʃy	
侯	huw	ɦəw˩	
也。	yaeX	jiɛ˥˧	
凡	bjom	fʱam˩	
爲	hjwe	ui˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
國	kwok	kwəʔ(k)	
家	kae	kia	
有	hjuwX	jiw˥˧	
九	kjuwX	kiw˥˧	
經。	keng	kiŋ	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
行	haeng	ɦiŋ˩	
之	tsyi	tʃɨ	
者	tsyaeX	tʃiɛ˥˧	
一	’jit	ʔiʔ(t)	
也。	yaeX	jiɛ˥˧	
凡	bjom	fʱam˩	
事	dzriH	ʂʱɨ˨˦	
豫	yoH	jy˨˦	
則	tsok	tsəʔ(k)	
立。	lip	liʔ(p)˩	
不	pjuw	puʔ(t)	
豫	yoH	jy˨˦	
則	tsok	tsəʔ(k)	
廢。	pjojH	fi˨˦	
言	ngjon	jiɛn˩	
前	dzen	tsʱiɛn˩	
定	dengH	diŋ˨˦	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
跲。	"gjaep/
kip"	"giɛp˩/
kiʔ(p)"	【音義】【集註】
事	dzriH	ʂʱɨ˨˦	
前	dzen	tsʱiɛn˩	
定	dengH	diŋ˨˦	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
困。	khwonH	kʰun˨˦	
行	haengH	ɦiŋ˨˦	【音義】【集註】
前	dzen	tsʱiɛn˩	
定	dengH	diŋ˨˦	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
疚。	kjuwH	kiw˨˦	【音義】
道	dawX	daw'˨˦	
前	dzen	tsʱiɛn˩	
定。	dengH	diŋ˨˦	
則	tsok	tsəʔ(k)	
不	pjuw	puʔ(t)	
窮。	gjuwng	kʱyuŋ˩	
在	dzojX	dzai'˨˦	
下	haeX	ɦia'˨˦	
位	hwijH	ui˨˦	
不	pjuw	puʔ(t)	
獲	hweak	ɦwəʔ(k)˩	
乎	hu	ɦu˩	
上。	dzyangH	ʃʱiɑŋ˨˦	
民	mjin	min˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
得	tok	təʔ(k)	
而	nyi	ɻ˩	
治	dri	tʃʱi˩	
矣。	hiX	ji˥˧	
獲	hweak	ɦwəʔ(k)˩	
乎	hu	ɦu˩	
上	dzyangH	ʃʱiɑŋ˨˦	
有	hjuwX	jiw˥˧	
道。	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
信	sinH	sin˨˦	
乎	hu	ɦu˩	
朋	bong	pʱəŋ˩	
友。	hjuwX	jiw˥˧	
不	pjuw	puʔ(t)	
獲	hweak	ɦwəʔ(k)˩	
乎	hu	ɦu˩	
上	dzyangH	ʃʱiɑŋ˨˦	
矣。	hiX	ji˥˧	
信	sinH	sin˨˦	
乎	hu	ɦu˩	
朋	bong	pʱəŋ˩	
友	hjuwX	jiw˥˧	
有	hjuwX	jiw˥˧	
道。	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
順	zywinH	ʃʱyun˨˦	
乎	hu	ɦu˩	
親。	tshin	tsʰin	
不	pjuw	puʔ(t)	
信	sinH	sin˨˦	
乎	hu	ɦu˩	
朋	bong	pʱəŋ˩	
友	hjuwX	jiw˥˧	
矣。	hiX	ji˥˧	
順	zywinH	ʃʱyun˨˦	
乎	hu	ɦu˩	
親	tshin	tsʰin	
有	hjuwX	jiw˥˧	
道。	dawX	daw'˨˦	
反	pjonX	fan˥˧	
諸	tsyo	tʃy	
身	syin	ʃin	
不	pjuw	puʔ(t)	
誠。	dzyeng	tʃʱiŋ˩	
不	pjuw	puʔ(t)	
順	zywinH	ʃʱyun˨˦	
乎	hu	ɦu˩	
親	tshin	tsʰin	
矣。	hiX	ji˥˧	
誠	dzyeng	tʃʱiŋ˩	
身	syin	ʃin	
有	hjuwX	jiw˥˧	
道。	dawX	daw'˨˦	
不	pjuw	puʔ(t)	
明	mjaeng	miŋ˩	
乎	hu	ɦu˩	
善。	dzyenX	ʃʱiɛn'˨˦	
不	pjuw	puʔ(t)	
誠	dzyeng	tʃʱiŋ˩	
乎	hu	ɦu˩	
身	syin	ʃin	
矣。	hiX	ji˥˧	
誠	dzyeng	tʃʱiŋ˩	
者。	tsyaeX	tʃiɛ˥˧	
天	then	tʰiɛn	
之	tsyi	tʃɨ	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
誠	dzyeng	tʃʱiŋ˩	
之	tsyi	tʃɨ	
者。	tsyaeX	tʃiɛ˥˧	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
誠	dzyeng	tʃʱiŋ˩	
者。	tsyaeX	tʃiɛ˥˧	
不	pjuw	puʔ(t)	
勉	mjenX	miɛn˥˧	
而	nyi	ɻ˩	
中。	"trjuwngH/
trjuwng"	"tʃyuŋ˨˦/
tʃyuŋ˧"	【音義】【集註】
不	pjuw	puʔ(t)	
思	si	sɨ	
而	nyi	ɻ˩	
得。	tok	təʔ(k)	
從	tshjowng	tsʰ(y)uŋ	【音義】【集註】
容	yowng	jyuŋ˩	
中。	"trjuwngH/
trjuwng"	"tʃyuŋ˨˦/
tʃyuŋ˧"	【音義】【集註】
道。	dawX	daw'˨˦	
聖	syengH	ʃiŋ˨˦	
人	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
誠	dzyeng	tʃʱiŋ˩	
之	tsyi	tʃɨ	
者。	tsyaeX	tʃiɛ˥˧	
擇	draek	ɖʐəʔ(k)˩	
善	dzyenX	ʃʱiɛn'˨˦	
而	nyi	ɻ˩	
固	kuH	ku˨˦	
執	tsyip	tʃiʔ(p)	
之	tsyi	tʃɨ	
者	tsyaeX	tʃiɛ˥˧	
也。	yaeX	jiɛ˥˧	
博	pak	pɒʔ(k)	
學	haewk	ɦiɒʔ(k)˩	
之。	tsyi	tʃɨ	
審	syimX	ʃim˥˧	
問	mjunH	vun˨˦	
之。	tsyi	tʃɨ	
愼	dzyinH	ʃʱin˨˦	
思	si	sɨ	
之。	tsyi	tʃɨ	
明	mjaeng	miŋ˩	
辨	bjenX	biɛn'˨˦	
之。	tsyi	tʃɨ	
篤	towk	tuʔ(k)	
行	haeng	ɦiŋ˩	
之。	tsyi	tʃɨ	
有	hjuwX	jiw˥˧	
弗	pjut	fuʔ(t)	
學。	haewk	ɦiɒʔ(k)˩	
學	haewk	ɦiɒʔ(k)˩	
之	tsyi	tʃɨ	
弗	pjut	fuʔ(t)	
能。	nong	nəŋ˩	
弗	pjut	fuʔ(t)	
措	tshuH	tsʰu˨˦	
也。	yaeX	jiɛ˥˧	
有	hjuwX	jiw˥˧	
弗	pjut	fuʔ(t)	
問。	mjunH	vun˨˦	
問	mjunH	vun˨˦	
之	tsyi	tʃɨ	
弗	pjut	fuʔ(t)	
知。	trje	tʃi	
弗	pjut	fuʔ(t)	
措	tshuH	tsʰu˨˦	【音義】
也。	yaeX	jiɛ˥˧	
有	hjuwX	jiw˥˧	
弗	pjut	fuʔ(t)	
思。	si	sɨ	
思	si	sɨ	
之	tsyi	tʃɨ	
弗	pjut	fuʔ(t)	
得。	tok	təʔ(k)	
弗	pjut	fuʔ(t)	
措	tshuH	tsʰu˨˦	【音義】
也。	yaeX	jiɛ˥˧	
有	hjuwX	jiw˥˧	
弗	pjut	fuʔ(t)	
辨。	bjenX	biɛn'˨˦	
辨	bjenX	biɛn'˨˦	
之	tsyi	tʃɨ	
弗	pjut	fuʔ(t)	
明。	mjaeng	miŋ˩	
弗	pjut	fuʔ(t)	
措	tshuH	tsʰu˨˦	【音義】
也。	yaeX	jiɛ˥˧	
有	hjuwX	jiw˥˧	
弗	pjut	fuʔ(t)	
行。	haeng	ɦiŋ˩	
行	haeng	ɦiŋ˩	
之	tsyi	tʃɨ	
弗	pjut	fuʔ(t)	
篤。	towk	tuʔ(k)	
弗	pjut	fuʔ(t)	
措	tshuH	tsʰu˨˦	【音義】
也。	yaeX	jiɛ˥˧	
人	nyin	ʒin˩	
一	’jit	ʔiʔ(t)	
能	nong	nəŋ˩	
之。	tsyi	tʃɨ	
己	kiX	ki˥˧	
百	paek	pəʔ(k)	
之。	tsyi	tʃɨ	
人	nyin	ʒin˩	
十	dzyip	ʃʱiʔ(p)˩	
能	nong	nəŋ˩	
之。	tsyi	tʃɨ	
己	kiX	ki˥˧	
千	tshen	tsʰiɛn	
之。	tsyi	tʃɨ	
果	kwaX	kwɔ˥˧	
能	nong	nəŋ˩	
此	tshjeX	tsʰɨ˥˧	
道	dawX	daw'˨˦	
矣。	hiX	ji˥˧	
雖	swij	sui	
愚	ngju	ŋy˩	
必	pjit	piʔ(t)	
明。	mjaeng	miŋ˩	
雖	swij	sui	
柔	nyuw	ʒiw˩	
必	pjit	piʔ(t)	
強。	gjang	kʱiɑŋ˩	【音義】
自	dzijH	dzɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
明。	mjaeng	miŋ˩	
謂	hjw+jH	ui˨˦	
之	tsyi	tʃɨ	
性。	sjengH	siŋ˨˦	
自	dzijH	dzɨ˨˦	
明	mjaeng	miŋ˩	
誠。	dzyeng	tʃʱiŋ˩	
謂	hjw+jH	ui˨˦	
之	tsyi	tʃɨ	
教。	kaewH	kiaw˨˦	
誠	dzyeng	tʃʱiŋ˩	
則	tsok	tsəʔ(k)	
明	mjaeng	miŋ˩	
矣。	hiX	ji˥˧	
明	mjaeng	miŋ˩	
則	tsok	tsəʔ(k)	
誠	dzyeng	tʃʱiŋ˩	
矣。	hiX	ji˥˧	
唯	ywij	vi˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
至	tsyijH	tʃɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
爲	hjwe	ui˩	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
其	gi	kʱi˩	
性。	sjengH	siŋ˨˦	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
其	gi	kʱi˩	
性。	sjengH	siŋ˨˦	
則	tsok	tsəʔ(k)	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
性。	sjengH	siŋ˨˦	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
性。	sjengH	siŋ˨˦	
則	tsok	tsəʔ(k)	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
物	mjut	vuʔ(t)˩	
之	tsyi	tʃɨ	
性。	sjengH	siŋ˨˦	
能	nong	nəŋ˩	
盡	dzinX	dzin'˨˦	
物	mjut	vuʔ(t)˩	
之	tsyi	tʃɨ	
性。	sjengH	siŋ˨˦	
則	tsok	tsəʔ(k)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
贊	tsanH	tsan˨˦	
天	then	tʰiɛn	
地	dijH	di˨˦	
之	tsyi	tʃɨ	
化	xwaeH	hwa˨˦	
育。	yuwk	jyuʔ(k)˩	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
贊	tsanH	tsan˨˦	
天	then	tʰiɛn	
地	dijH	di˨˦	
之	tsyi	tʃɨ	
化	xwaeH	hwa˨˦	
育。	yuwk	jyuʔ(k)˩	
則	tsok	tsəʔ(k)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
與	yoX	jy˥˧	
天	then	tʰiɛn	
地	dijH	di˨˦	
參	tshom	tsʰam	
矣。	hiX	ji˥˧	
其	gi	kʱi˩	
次	tshijH	tsʰɨ˨˦	
致	trijH	tʃi˨˦	
曲。	khjowk	kʰyuʔ(k)	
曲	khjowk	kʰyuʔ(k)	
能	nong	nəŋ˩	
有	hjuwX	jiw˥˧	
誠。	dzyeng	tʃʱiŋ˩	
誠	dzyeng	tʃʱiŋ˩	
則	tsok	tsəʔ(k)	
形。	heng	ɦiŋ˩	
形	heng	ɦiŋ˩	
則	tsok	tsəʔ(k)	
著。	trjoH	tʃy˨˦	
著	trjoH	tʃy˨˦	
則	tsok	tsəʔ(k)	
明。	mjaeng	miŋ˩	
明	mjaeng	miŋ˩	
則	tsok	tsəʔ(k)	
動。	duwngX	duŋ'˨˦	
動	duwngX	duŋ'˨˦	
則	tsok	tsəʔ(k)	
變。	pjenH	piɛn˨˦	
變	pjenH	piɛn˨˦	
則	tsok	tsəʔ(k)	
化。	xwaeH	hwa˨˦	
唯	ywij	vi˩	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
至	tsyijH	tʃɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
爲	hjwe	ui˩	
能	nong	nəŋ˩	
化。	xwaeH	hwa˨˦	
至	tsyijH	tʃɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
前	dzen	tsʱiɛn˩	
知。	trje	tʃi	
國	kwok	kwəʔ(k)	
家	kae	kia	
將	tsjang	tsiɑŋ	
興。	xing	hiŋ	
必	pjit	piʔ(t)	
有	hjuwX	jiw˥˧	
禎	trjeng	tʃiŋ	【音義】
祥。	zjang	sʱiɑŋ˩	
國	kwok	kwəʔ(k)	
家	kae	kia	
將	tsjang	tsiɑŋ	
亡。	mjang	vɑŋ˩	
必	pjit	piʔ(t)	
有	hjuwX	jiw˥˧	
妖	’jew	ʔiɛw	【音義】
孽。	ngjet	ŋiɛʔ(t)˩	【音義】
見	henH	ɦiɛn˨˦	【音義】【集註】
乎	hu	ɦu˩	
蓍	syij	ʃɨ	【音義】
龜。	kwij	kui	
動	duwngX	duŋ'˨˦	
乎	hu	ɦu˩	
四	sijH	sɨ˨˦	
體。	thejX	tʰi˥˧	
禍	hwaX	ɦwɔ'˨˦	
福	pjuwk	fuʔ(k)	
將	tsjang	tsiɑŋ	
至。	tsyijH	tʃɨ˨˦	
善	dzyenX	ʃʱiɛn'˨˦	
必	pjit	piʔ(t)	
先	sen	siɛn	
知	trje	tʃi	
之。	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
善	dzyenX	ʃʱiɛn'˨˦	
必	pjit	piʔ(t)	
先	sen	siɛn	
知	trje	tʃi	
之。	tsyi	tʃɨ	
故	kuH	ku˨˦	
至	tsyijH	tʃɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
如	nyo	ʒy˩	
神。	zyin	ʃʱin˩	
誠	dzyeng	tʃʱiŋ˩	
者。	tsyaeX	tʃiɛ˥˧	
自	dzijH	dzɨ˨˦	
成	dzyeng	tʃʱiŋ˩	
也。	yaeX	jiɛ˥˧	
而	nyi	ɻ˩	
道。	dawX	daw'˨˦	
自	dzijH	dzɨ˨˦	
道	dawH	daw˨˦	【音義】【集註】
也。	yaeX	jiɛ˥˧	
誠	dzyeng	tʃʱiŋ˩	
者。	tsyaeX	tʃiɛ˥˧	
物	mjut	vuʔ(t)˩	
之	tsyi	tʃɨ	
終	tsyuwng	tʃyuŋ	
始。	syiX	ʃɨ˥˧	
不	pjuw	puʔ(t)	
誠	dzyeng	tʃʱiŋ˩	
無	mju	vu˩	
物。	mjut	vuʔ(t)˩	
是	dzyeX	ʃʱɨ'˨˦	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
誠	dzyeng	tʃʱiŋ˩	
之	tsyi	tʃɨ	
爲	hjwe	ui˩	
貴。	kjw+jH	kui˨˦	
誠	dzyeng	tʃʱiŋ˩	
者。	tsyaeX	tʃiɛ˥˧	
非	pj+j	fi	
自	dzijH	dzɨ˨˦	
成	dzyeng	tʃʱiŋ˩	
己	kiX	ki˥˧	
而	nyi	ɻ˩	
已	yiX	ji˥˧	
也。	yaeX	jiɛ˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
成	dzyeng	tʃʱiŋ˩	
物	mjut	vuʔ(t)˩	
也。	yaeX	jiɛ˥˧	
成	dzyeng	tʃʱiŋ˩	
己。	kiX	ki˥˧	
仁	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
成	dzyeng	tʃʱiŋ˩	
物。	mjut	vuʔ(t)˩	
知	trjeH	tʃi˨˦	【音義】【集註】
也。	yaeX	jiɛ˥˧	
性	sjengH	siŋ˨˦	
之	tsyi	tʃɨ	
德	tok	təʔ(k)	
也。	yaeX	jiɛ˥˧	
合	hop	ɦɔʔ(p)˩	
外	ngwajH	(ŋ)wai˨˦	
内	nwojH	nui˨˦	
之	tsyi	tʃɨ	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
故	kuH	ku˨˦	
時	dzyi	ʃʱɨ˩	
措	tshuH	tsʰu˨˦	
之	tsyi	tʃɨ	
宜	ngje	(ŋ)i˩	
也。	yaeX	jiɛ˥˧	
故	kuH	ku˨˦	
至	tsyijH	tʃɨ˨˦	
誠	dzyeng	tʃʱiŋ˩	
無	mju	vu˩	
息。	sik	siʔ(k)	
不	pjuw	puʔ(t)	
息	sik	siʔ(k)	
則	tsok	tsəʔ(k)	
久。	kjuwX	kiw˥˧	
